match_id,is_plate,team1,team2,team1_runs,team1_wickets,team1_overs,team2_runs,team2_wickets,team2_overs,venue,day_name,month,day_num,stage,toss_winner,toss_decision,batting_first,winner,win_type,win_margin,total_runs,total_wickets,team1_group,team2_group
APvsDEL,False,AP,DEL,298.0,8.0,50.0,300.0,6.0,37.4,"BCCI Centre of Excellence Ground 1, Bengaluru",Wed,Dec,24.0,Group Stage,DEL,Bowl,AP,DEL,wickets,4.0,598.0,14.0,Group D,Group D
APvsODSA,False,AP,ODSA,221.0,10.0,49.2,223.0,4.0,43.4,"KSCA Cricket Ground, Alur",Mon,Dec,29.0,Group Stage,ODSA,Bowl,AP,ODSA,wickets,6.0,444.0,14.0,Group D,Group D
ASMvsBRD,False,ASM,BRD,282.0,10.0,48.4,283.0,5.0,47.5,"Niranjan Shah Stadium C, Rajkot",Wed,Dec,24.0,Group Stage,BRD,Bowl,ASM,BRD,wickets,5.0,565.0,15.0,Group B,Group B
ASMvsCDG,False,ASM,CDG,284.0,7.0,50.0,286.0,3.0,47.2,"Sanosara Cricket Ground B, Rajkot",Tue,Jan,6.0,Group Stage,ASM,Bat,ASM,CDG,wickets,7.0,570.0,10.0,Group B,Group B
ASMvsUP,False,ASM,UP,308.0,10.0,48.4,291.0,2.0,42.0,"Niranjan Shah Stadium, Khandheri, Rajkot",Wed,Dec,31.0,Group Stage,ASM,Bat,ASM,ASM,runs,17.0,599.0,12.0,Group B,Group B
BENvsASM,False,BEN,ASM,302.0,7.0,50.0,217.0,10.0,42.1,"Sanosara Cricket Ground B, Rajkot",Sat,Jan,3.0,Group Stage,ASM,Bowl,BEN,BEN,runs,85.0,519.0,17.0,Group B,Group B
BENvsBRD,False,BEN,BRD,205.0,10.0,38.3,209.0,6.0,38.5,"Niranjan Shah Stadium C, Rajkot",Fri,Dec,26.0,Group Stage,BRD,Bowl,BEN,BRD,wickets,4.0,414.0,16.0,Group B,Group B
BENvsUP,False,BEN,UP,269.0,10.0,45.1,272.0,5.0,42.2,"Sanosara Cricket Ground B, Rajkot",Thu,Jan,8.0,Group Stage,UP,Bowl,BEN,UP,wickets,5.0,541.0,15.0,Group B,Group B
BRDvsCDG,False,BRD,CDG,391.0,10.0,49.1,242.0,10.0,40.0,"Niranjan Shah Stadium, Khandheri, Rajkot",Thu,Jan,8.0,Group Stage,BRD,Bat,BRD,BRD,runs,149.0,633.0,20.0,Group B,Group B
BRDvsHYD,False,BRD,HYD,417.0,4.0,50.0,380.0,10.0,49.5,"Sanosara Cricket Ground B, Rajkot",Wed,Dec,31.0,Group Stage,HYD,Bowl,BRD,BRD,runs,37.0,797.0,14.0,Group B,Group B
BRDvsJK,False,BRD,JK,332.0,10.0,50.0,256.0,10.0,45.3,"Sanosara Cricket Ground A, Rajkot",Tue,Jan,6.0,Group Stage,BRD,Bat,BRD,BRD,runs,76.0,588.0,20.0,Group B,Group B
