Unnamed: 0,Team,Batter,Dismissal,Runs,Balls,4s,6s,SR,match_id,is_plate,dismissal_type,batting_position
0,AP,Srikar Bharat (wk),c Navdeep Saini b Simarjeet Singh,13,33,1,0,39.39,APvsDEL,False,caught,1
1,AP,Ashwin Hebbar,b Prince Yadav,10,30,1,0,33.33,APvsDEL,False,bowled,2
2,AP,Shaik Rasheed,c Pant b Prince Yadav,31,56,2,0,55.36,APvsDEL,False,caught,3
3,AP,Ricky Bhui,b Simarjeet Singh,122,105,11,7,116.19,APvsDEL,False,bowled,4
4,AP,Nitish Reddy (c),c Priyansh Arya b Simarjeet Singh,23,21,1,1,109.52,APvsDEL,False,caught,5
5,AP,Maramreddy Hemanth Reddy,c and b Prince Yadav,27,22,4,0,122.73,APvsDEL,False,caught,6
6,AP,Singupuram Prasad,c Prince Yadav b Simarjeet Singh,28,17,3,1,164.71,APvsDEL,False,caught,7
7,AP,K S Narasimha Raju,not out,17,14,2,0,121.43,APvsDEL,False,not out,8
8,AP,Saurabh Kumar,c Navdeep Saini b Simarjeet Singh,0,1,0,0,0.0,APvsDEL,False,caught,9
9,AP,Tripurana Vijay,not out,1,1,0,0,100.0,APvsDEL,False,not out,10
10,DEL,Priyansh Arya,c (sub)Yara Sandeep b K S Narasimha Raju,74,44,7,5,168.18,APvsDEL,False,caught,1
11,DEL,Arpit Rana,c Srikar Bharat b Nitish Reddy,0,2,0,0,0.0,APvsDEL,False,caught,2
12,DEL,Virat Kohli,c Shaik Rasheed b Satyanarayana Raju,131,101,14,3,129.7,APvsDEL,False,caught,3
13,DEL,Nitish Rana,b Satyanarayana Raju,77,55,9,2,140.0,APvsDEL,False,bowled,4
14,DEL,Rishabh Pant (c & wk),c Nitish Reddy b Maramreddy Hemanth Reddy,5,9,0,0,55.56,APvsDEL,False,caught,5
15,DEL,Ayush Badoni,b Maramreddy Hemanth Reddy,1,3,0,0,33.33,APvsDEL,False,bowled,6
16,DEL,Harsh Tyagi,not out,4,8,0,0,50.0,APvsDEL,False,not out,7
17,DEL,Navdeep Saini,not out,5,4,1,0,125.0,APvsDEL,False,not out,8
0,AP,Ashwin Hebbar,b Rajesh Mohanty,2,5,0,0,40.0,APvsODSA,False,bowled,1
1,AP,Srikar Bharat (wk),c G Poddar b Badal Biswal,32,58,3,0,55.17,APvsODSA,False,caught,2
2,AP,Shaik Rasheed,c Sandeep Pattnaik b G Poddar,20,35,1,0,57.14,APvsODSA,False,caught,3
3,AP,Nitish Reddy (c),b Sambit S Baral,6,11,1,0,54.55,APvsODSA,False,bowled,4
4,AP,Ricky Bhui,lbw b Samantray,18,44,0,1,40.91,APvsODSA,False,lbw,5
5,AP,Singupuram Prasad,c G Poddar b Debabrata Pradhan,66,64,6,2,103.12,APvsODSA,False,caught,6
6,AP,Maramreddy Hemanth Reddy,c Prayash Singh b G Poddar,11,19,0,1,57.89,APvsODSA,False,caught,7
7,AP,K S Narasimha Raju,c Sandeep Pattnaik b G Poddar,2,4,0,0,50.0,APvsODSA,False,caught,8
8,AP,Tripurana Vijay,b Samantray,6,18,1,0,33.33,APvsODSA,False,bowled,9
9,AP,Saurabh Kumar,b Samantray,47,26,3,4,180.77,APvsODSA,False,bowled,10
10,AP,Satyanarayana Raju,not out,1,12,0,0,8.33,APvsODSA,False,not out,11
11,ODSA,Swastik Samal,c Srikar Bharat b Nitish Reddy,0,1,0,0,0.0,APvsODSA,False,caught,1
12,ODSA,Om T Munde,c K S Narasimha Raju b Maramreddy Hemanth Reddy,91,111,7,0,81.98,APvsODSA,False,caught,2
13,ODSA,Sandeep Pattnaik,c Srikar Bharat b Satyanarayana Raju,19,19,4,0,100.0,APvsODSA,False,caught,3
14,ODSA,Govinda Poddar,c Srikar Bharat b Satyanarayana Raju,89,105,9,0,84.76,APvsODSA,False,caught,4
15,ODSA,Aasirwad Swain (wk),not out,11,20,1,0,55.0,APvsODSA,False,not out,5
16,ODSA,Biplab Samantray (c),not out,7,6,1,0,116.67,APvsODSA,False,not out,6
0,ASM,Pradyun Saikia,c Amit Pasi b Raj Limbani,67,83,7,0,80.72,ASMvsBRD,False,caught,1
1,ASM,Purkayastha,c Shivalik Sharma b Rasikh Salam,6,8,1,0,75.0,ASMvsBRD,False,caught,2
