Unnamed: 0,Against,Team,Bowler,Overs,Maidens,Runs,Wickets,Economy,match_id,is_plate,bowling_position
0,AP,DEL,Ishant,7.0,3,28,0,0,APvsDEL,False,1
1,AP,DEL,Navdeep Saini,10.0,0,79,0,3,APvsDEL,False,2
2,AP,DEL,Simarjeet Singh,10.0,1,54,5,6,APvsDEL,False,3
3,AP,DEL,Prince Yadav,10.0,2,50,3,3,APvsDEL,False,4
4,AP,DEL,Harsh Tyagi,8.0,1,48,0,0,APvsDEL,False,5
5,AP,DEL,Nitish Rana,5.0,0,33,0,0,APvsDEL,False,6
6,DEL,AP,Nitish Kumar Reddy (c),5.0,0,49,1,0,APvsDEL,False,1
7,DEL,AP,Satyanarayana Raju,10.0,0,74,2,1,APvsDEL,False,2
8,DEL,AP,Tripurana Vijay,7.0,0,75,0,1,APvsDEL,False,3
9,DEL,AP,Saurabh Kumar,9.0,0,52,0,1,APvsDEL,False,4
10,DEL,AP,K S Narasimha Raju,5.0,0,44,1,0,APvsDEL,False,5
11,DEL,AP,Maramreddy Hemanth Reddy,1.4,0,6,2,0,APvsDEL,False,6
0,AP,ODSA,Rajesh Mohanty,10.0,0,58,1,0,APvsODSA,False,1
1,AP,ODSA,Debabrata Pradhan,10.0,1,34,1,0,APvsODSA,False,2
2,AP,ODSA,Sambit S Baral,8.0,1,31,1,0,APvsODSA,False,3
3,AP,ODSA,Badal Biswal,6.0,2,22,1,0,APvsODSA,False,4
4,AP,ODSA,Samantray (c),7.2,0,36,3,0,APvsODSA,False,5
5,AP,ODSA,G Poddar,8.0,1,36,3,0,APvsODSA,False,6
6,ODSA,AP,Nitish Kumar Reddy (c),8.0,1,37,1,0,APvsODSA,False,1
7,ODSA,AP,Satyanarayana Raju,9.0,0,49,2,0,APvsODSA,False,2
8,ODSA,AP,K S Narasimha Raju,6.0,0,31,0,0,APvsODSA,False,3
9,ODSA,AP,Saurabh Kumar,10.0,0,35,0,0,APvsODSA,False,4
10,ODSA,AP,Maramreddy Hemanth Reddy,5.4,0,35,1,0,APvsODSA,False,5
